,Gross domestic product,,Agriculture,,Industry,,Manufacturing,,Services,
,,,,,,,,,,
,average annual real growth (%),,average annual real growth (%),,average annual real growth (%),,average annual real growth (%),,average annual real growth (%),
,2010-2020,2020-2024,2010-2020,2020-2024,2010-2020,2020-2024,2010-2020,2020-2024,2010-2020,2020-2024
Tajikistan,6.9,8.4,6.3,1.5,11.9,10.8,..,..,4.6,7.9
Tanzania,6.1,4.9,4.5,3.6,9.1,4.6,7.2,5,5.8,5.9
Thailand,2.8,2.2,0.5,1.6,1.6,0.5,1.5,0.4,4.1,3.4
Timor-Leste,5,-12.9,-0.8,3.7,13,-46.5,13.9,-0.8,3.4,3.7
Togo,5,6.1,4.6,5.5,4.4,7.7,5.4,4.4,5,5.8
Tonga,2.2,-0.3,1.3,0.7,1.3,4.3,1.8,-5.8,1.8,-2.2
Trinidad and Tobago,-0.9,1.1,-1,-10.1,-2.9,-0.5,-2,1.4,0.9,1.9
Tunisia,1.4,2.1,3.4,-3.4,-1.2,1.4,0,2.7,2,3.1
Turkiye,5.2,6.1,3.3,1,5.4,4,5.4,5.6,5.5,8
Turkmenistan,8,6.2,..,..,..,..,..,..,..,..
Turks and Caicos Islands,10.4,15.1,3.9,10.4,12.9,12.7,-0.6,9.5,8.7,15.7
Tuvalu,4.1,2,..,..,..,..,..,..,..,..
Uganda,4.9,4.9,2.8,4.6,5.7,4.5,3.8,3.5,5.1,4.8
Ukraine,-1.4,-7,2,-4.1,-4.1,-11.6,-3.9,-10.2,-0.4,-4.6
United Arab Emirates,3.2,5.2,2.7,3.2,2.5,4.1,5.5,7.7,3.9,6.3
United Kingdom,1.5,3.5,1.7,1.1,1.4,0,1.9,0.9,1.6,4.3
United States,2.2,3.4,..,..,..,..,..,..,..,..
Uruguay,1.7,3.3,-0.1,3.7,0.5,2.9,0.7,3,2.4,3.4
Uzbekistan,6.2,6.6,4.5,3.7,7.6,6.7,7.2,7,6.5,8.5
Vanuatu,2.5,2,2.1,3.3,4.2,-11,-2.3,2.3,2.2,4.1
"Venezuela, RB",-11.3,4.8,..,..,..,..,..,..,..,..
Viet Nam,6.5,6,2.9,3.7,7.5,5.8,9.3,6.7,7,7.1
Virgin Islands (U.S.),-2.2,1.1,..,..,..,..,..,..,..,..
West Bank and Gaza,3,-4.9,0.4,-9.6,1.2,-10,2.3,-6.5,3.4,-5.3
"Yemen, Rep.",-7.2,..,6.5,..,-16.1,..,..,..,-4,..
Zambia,3.8,5.2,-0.4,-10.3,3.8,1.7,4.6,5.8,4.4,8.9
Zimbabwe,3,5.5,4.9,2.9,5.5,4.7,2,1.7,2.4,5.5
World,2.8,3.8,2.9,3.1,3,3.3,..,..,3.1,4.8
East Asia & Pacific,4.6,4.2,3,3.9,4.7,4,..,..,4.8,4.7
Europe & Central Asia,1.5,3,1.7,0.4,1.4,1.6,2.1,2.7,1.6,3.7
Latin America & Caribbean,0.8,3.7,2.5,1.6,0.1,3.4,0,2.6,1.5,4
"Middle East, North Africa, Afghanistan & Pakistan",2.7,4,2.6,2.3,1.6,3.2,2.9,4.5,3.2,4.8
North America,2.2,3.4,..,..,..,..,..,..,..,..
